V0	Ø	Time	R
93.72	53.7	9.74	223.78
96.91	47.1	9.14	247.57
92.67	66.0	10.82	168.91
78.32	62.4	9.64	164.82
90.09	65.5	10.63	167.97
81.24	36.0	6.92	225.69
80.85	54.2	9.06	198.71
63.43	30.1	5.18	172.69
87.89	56.9	9.75	202.60
99.25	52.6	9.90	236.58
81.58	54.2	9.11	200.18
95.57	57.3	10.22	213.48
68.65	54.2	8.26	172.93
95.63	55.5	10.03	220.64
63.94	39.4	6.39	180.23
86.40	47.1	8.61	227.36
82.36	62.8	9.94	169.79
65.59	56.1	8.21	161.06
84.18	42.4	7.92	229.61
81.00	43.5	7.89	221.19
97.30	41.0	8.36	258.68
85.70	48.0	8.68	223.99
65.00	65.3	8.86	129.81
93.94	36.7	7.60	254.60
60.37	60.9	8.16	135.94
75.91	51.9	8.53	194.59
63.82	33.2	5.62	177.58
70.84	40.6	6.95	198.75
90.00	31.4	6.65	243.85
68.55	63.5	9.01	143.56
97.77	47.3	9.20	248.90
80.73	46.2	8.20	216.76
88.28	36.5	7.33	242.21
65.87	67.3	9.06	123.49
99.88	55.8	10.29	225.91
79.71	64.9	9.92	156.52
87.17	32.8	6.74	238.44
89.36	41.0	7.99	242.36
60.37	51.6	7.40	158.46
94.25	56.9	10.10	213.01
71.70	62.5	9.18	153.15
95.56	30.1	6.66	254.87
80.89	33.4	6.54	223.73
67.48	53.1	8.08	172.86
83.55	63.1	10.04	170.38
85.38	50.4	8.93	217.84
71.02	37.2	6.54	199.78
74.82	65.1	9.60	147.71
83.42	51.3	8.92	211.80
92.71	33.7	7.11	251.57
62.89	49.4	7.39	168.69
89.04	58.0	9.92	200.47
95.22	43.8	8.64	250.73
82.91	64.6	10.12	162.36
72.24	59.9	9.01	163.67
99.91	32.6	7.23	266.41
92.93	43.9	8.54	246.17
90.91	51.2	9.33	226.24
71.85	48.2	7.88	193.01
84.13	61.1	9.91	179.74
60.35	45.5	6.81	166.72
96.70	49.3	9.39	242.07
89.54	66.7	10.69	160.99
71.81	55.9	8.63	175.46
67.60	63.6	8.95	141.43
68.54	46.3	7.46	187.75
73.00	54.6	8.60	181.40
61.45	69.5	8.81	106.72
69.67	51.0	8.02	182.63
79.40	33.5	6.48	220.11
62.72	55.0	7.89	157.18
72.85	52.5	8.38	186.63
96.84	56.3	10.18	219.47
69.73	58.6	8.73	162.74
70.60	32.6	5.92	196.25
96.86	66.8	11.12	169.61
72.50	34.6	6.28	202.87
88.50	34.3	7.02	242.37
77.51	39.0	7.14	216.31
81.88	43.7	7.96	222.92
99.68	31.8	7.10	265.43
84.55	57.1	9.58	195.96
60.42	34.8	5.61	168.66
99.57	41.4	8.51	262.69
68.65	51.3	7.98	179.58
95.89	46.5	9.02	247.09
93.31	62.2	10.55	188.89
60.13	64.2	8.37	124.74
93.47	54.7	9.84	219.85
96.56	40.2	8.22	258.01
98.30	39.3	8.16	262.30
69.45	54.3	8.33	174.44
63.12	30.0	5.16	171.71
77.63	68.1	10.01	137.77
80.99	49.5	8.59	210.97
79.69	38.6	7.20	221.77
79.78	67.5	10.12	143.80
97.91	38.4	8.02	262.12
99.64	47.5	9.31	251.69
85.68	56.2	9.56	201.14
74.83	34.0	6.32	208.69
