V0	Ø	w	Time	R
62.02	54.8	4.5	7.90	176.70
85.31	54.8	-0.3	9.38	203.60
77.06	63.0	-4.3	9.52	134.19
92.60	44.0	3.9	8.62	270.27
67.60	56.2	0.2	8.37	166.54
91.09	31.1	-0.9	6.63	241.41
94.75	39.8	1.5	8.11	264.18
97.89	48.2	-3.9	9.23	219.65
92.57	40.6	-4.6	8.00	221.13
77.16	30.8	3.4	6.04	226.42
81.91	59.1	4.9	9.70	215.86
66.38	47.6	1.3	7.48	186.74
87.82	53.3	-0.6	9.37	210.49
95.72	44.1	4.5	8.79	281.53
90.34	68.1	-0.4	10.83	151.81
79.32	40.6	-0.0	7.43	219.77
85.83	33.4	3.8	6.84	255.08
74.31	32.2	0.2	6.05	206.50
71.20	52.4	3.4	8.34	201.35
84.54	51.5	-0.5	8.99	210.45
97.43	67.8	4.9	11.31	201.73
60.46	44.2	4.8	6.77	188.10
69.39	61.3	0.3	8.93	154.97
92.02	35.7	-4.4	7.30	225.68
61.60	65.1	0.1	8.56	125.01
75.74	40.7	1.2	7.27	217.31
89.10	66.2	1.7	10.66	174.75
77.77	41.9	4.9	7.61	241.37
78.87	56.6	-2.5	9.12	171.97
96.39	35.9	-1.7	7.56	250.19
82.77	56.1	-2.5	9.32	180.39
85.56	62.5	0.4	10.13	178.81
90.88	32.9	0.8	6.92	251.01
78.36	38.6	1.7	7.15	227.34
91.09	33.3	-4.0	6.91	226.68
68.72	35.9	2.4	6.28	203.09
81.90	56.0	4.3	9.40	222.19
95.05	30.6	-2.1	6.69	243.58
72.29	46.1	-1.9	7.64	187.53
99.95	57.8	-2.7	10.43	197.40
61.36	38.3	-2.5	6.05	163.08
96.12	36.4	-0.4	7.64	256.61
68.26	45.1	3.8	7.38	206.84
80.76	49.8	3.0	8.66	228.30
78.12	57.0	3.1	9.23	203.25
89.23	30.8	1.2	6.54	247.37
86.98	45.1	-1.3	8.37	223.89
93.83	34.2	1.9	7.27	264.97
72.14	47.2	-2.4	7.75	182.51
87.70	47.5	3.0	8.79	248.13
68.27	51.1	4.4	8.02	201.39
78.14	57.3	1.5	9.23	193.02
66.16	52.1	4.6	7.98	194.89
76.44	53.9	1.4	8.79	198.64
88.44	52.7	1.9	9.40	230.02
91.90	51.1	3.6	9.45	253.31
67.03	48.6	-3.0	7.54	165.70
94.98	64.7	-4.2	10.77	147.08
65.00	69.2	1.8	9.13	122.48
91.66	48.2	2.6	9.07	252.65
99.71	47.7	-3.2	9.28	228.68
68.64	56.4	-4.5	8.36	142.99
84.83	66.9	1.1	10.43	161.59
63.54	37.5	-2.7	6.09	168.35
88.88	42.0	2.7	8.16	256.51
86.21	39.9	-1.6	7.66	227.17
95.62	44.7	-0.3	8.77	248.44
80.55	69.6	-1.8	10.27	122.65
74.09	36.8	-0.5	6.65	205.55
83.96	50.4	4.0	8.94	240.30
74.45	43.6	4.1	7.61	227.21
94.46	64.7	4.8	10.92	213.18
94.34	57.5	-1.7	10.13	198.75
97.30	62.7	-2.0	10.78	176.60
72.18	66.1	-1.8	9.44	129.01
63.43	58.0	0.6	8.20	154.12
66.99	36.1	4.1	6.23	205.15
87.56	36.2	4.2	7.33	263.24
86.88	44.7	-0.9	8.33	227.05
87.52	45.1	-4.1	8.34	207.90
61.39	39.0	-3.5	6.11	159.46
81.09	45.5	-0.0	8.14	218.36
70.19	62.3	-3.7	8.98	130.53
71.63	31.0	-4.5	5.68	179.65
72.44	46.2	-3.2	7.64	180.86
77.18	37.3	-0.1	6.89	215.21
90.24	33.9	-2.2	7.00	234.74
93.36	49.6	-0.5	9.25	231.55
60.09	40.5	-4.9	6.17	149.91
61.78	30.4	-0.6	5.13	166.33
75.68	47.5	0.5	8.05	205.98
71.11	68.9	4.0	9.64	146.12
66.02	68.2	0.8	9.14	124.13
92.12	61.9	1.0	10.48	195.89
99.45	55.6	-1.7	10.20	213.47
91.21	65.4	-0.2	10.69	168.85
98.24	53.6	0.9	9.98	237.91
91.90	60.1	-3.8	10.20	168.69
96.19	65.9	0.2	11.02	175.63
79.22	35.6	-1.1	6.75	215.10
72.37	69.6	2.4	9.75	136.33
89.55	31.7	1.9	6.70	252.43
71.52	40.0	3.7	6.99	218.52
84.38	50.3	-3.3	8.80	195.45
60.76	53.5	-4.9	7.51	133.12
63.15	54.5	2.3	7.92	170.21
72.54	49.8	0.8	8.11	195.97
90.56	62.0	1.0	10.40	192.97
87.77	40.5	-4.0	7.77	215.81
78.95	60.3	-1.0	9.49	168.20
98.13	36.6	2.2	7.81	276.55
